"id","name"
"__sample__.project_partner_expertise_analysis","Analysis"
"__sample__.project_partner_expertise_app_development","App Development"
"__sample__.project_partner_expertise_augmented_reality","Augmented Reality"
"__sample__.project_partner_expertise_branding","Branding"
"__sample__.project_partner_expertise_budgeting_finance","Budgeting & Finance"
"__sample__.project_partner_expertise_business_planning","Business Planning"
"__sample__.project_partner_expertise_creative_thinking","Creative Thinking"
"__sample__.project_partner_expertise_consulting","Consulting"
"__sample__.project_partner_expertise_design_thinking","Design Thinking"
"__sample__.project_partner_expertise_event_management","Event Management"
"__sample__.project_partner_expertise_innovation_design","Innovation Design"
"__sample__.project_partner_expertise_marketing","Marketing"
"__sample__.project_partner_expertise_process_management","Process Management"
"__sample__.project_partner_expertise_project_management","Project Management"
"__sample__.project_partner_expertise_product_development","Product Development"
"__sample__.project_partner_expertise_prototyping","Prototyping"
"__sample__.project_partner_expertise_risk_management","Risk Management"
"__sample__.project_partner_expertise_strategic_planning","Strategic Planning"
"__sample__.project_partner_expertise_supervision_of_works","Supervision of works"
"__sample__.project_partner_expertise_video_production","Video Production"
"__sample__.project_partner_expertise_media_design","Media Design"
"__sample__.project_partner_expertise_interior_design","Interior Design"
"__sample__.project_partner_expertise_scenography","Scenography"
"__sample__.project_partner_expertise_advertising","Advertising"
"__sample__.project_partner_expertise_editing","Editing"
"__sample__.project_partner_expertise_film","Film"
"__sample__.project_partner_expertise_illustration","Illustration"
"__sample__.project_partner_expertise_music","Music"
"__sample__.project_partner_expertise_photography","Photography"
"__sample__.project_partner_expertise_fashion_and_textile_design","Fashion and Textile Design"
"__sample__.project_partner_expertise_graphic_design","Graphic Design"
"__sample__.project_partner_expertise_industry_and_product_design","Industry and Product Design"
"__sample__.project_partner_expertise_ui_ux_design","UI/UX  Design"
"__sample__.project_partner_expertise_civil_engineering","Civil Engineering"
"__sample__.project_partner_expertise_electrical_engineering","Electrical Engineering"
"__sample__.project_partner_expertise_mechanical_engineering","Mechanical Engineering"
"__sample__.project_partner_expertise_system_engineering","System Engineering"
"__sample__.project_partner_expertise_animation","Animation"
"__sample__.project_partner_expertise_database_administration","Database Administration"
"__sample__.project_partner_expertise_game_design","Game Design"
"__sample__.project_partner_expertise_software_development","Software Development"
"__sample__.project_partner_expertise_web_design","Web Design"
"__sample__.project_partner_expertise_agile_development","Agile Development"
"__sample__.project_partner_expertise_archiving","Archiving"
"__sample__.project_partner_expertise_modelling","Modelling"
"__sample__.project_partner_expertise_acting","Acting"
"__sample__.project_partner_expertise_cad","CAD"
"__sample__.project_partner_expertise_campaign_planning","Campaign Planning"
"__sample__.project_partner_expertise_cinematography","Cinematography"
"__sample__.project_partner_expertise_content_management","Content Management"
"__sample__.project_partner_expertise_crafts","Crafts"
"__sample__.project_partner_expertise_carpentry","Carpentry"
"__sample__.project_partner_expertise_camera_operator","Camera Operator"
"__sample__.project_partner_expertise_choreography","Choreography"
"__sample__.project_partner_expertise_copywriting","Copywriting"
"__sample__.project_partner_expertise_composing","Composing"
"__sample__.project_partner_expertise_curating","Curating"
"__sample__.project_partner_expertise_data_handling_processing","Data Handling / Processing"
"__sample__.project_partner_expertise_exhibition_design","Exhibition Design"
"__sample__.project_partner_expertise_furniture_design","Furniture Design"
"__sample__.project_partner_expertise_landscape_architecture","Landscape Architecture"
"__sample__.project_partner_expertise_lighting_design","Lighting Design"
"__sample__.project_partner_expertise_proof_reading","Proof Reading"
"__sample__.project_partner_expertise_translation","Translation"
"__sample__.project_partner_expertise_urban_design","Urban Design"
"__sample__.project_partner_expertise_event_design","Event Design"
"__sample__.project_partner_expertise_performing_arts","Performing Arts"
"__sample__.project_partner_expertise_post_production","Post-production"
"__sample__.project_partner_expertise_print","Print"
"__sample__.project_partner_expertise_typography","Typography"
"__sample__.project_partner_expertise_visualization","Visualization"
"__sample__.project_partner_expertise_virtual_reality","Virtual Reality"
"__sample__.project_partner_expertise_sound_design","Sound Design"
"__sample__.project_partner_expertise_3d","3D"
"__sample__.project_partner_expertise_interaction_design","Interaction Design"
"__sample__.project_partner_expertise_content_development","Content Development"
